fromNode	toNode	weight	direction	fromAltName	toAltName
ADCK5	SLC25A1	0.00513815415549345	undirected	NA	NA
ADCK5	C8orf55	0.0433618613824373	undirected	NA	NA
ADCK5	RHPN1	0.0352267648689074	undirected	NA	NA
ADCK5	SCRIB	0.0489460020899586	undirected	NA	NA
ADCK5	PYCRL	0.063437867383551	undirected	NA	NA
ADCK5	FAM83H	0.0531956498526813	undirected	NA	NA
ADCK5	SYT7	0.00526730730570344	undirected	NA	NA
ADCK5	GRINA	0.0271551304327741	undirected	NA	NA
ADCK5	PSCA	0.00965874465262475	undirected	NA	NA
ADCK5	TSTA3	0.0291513775009143	undirected	NA	NA
ADCK5	C8orf51	0.0405200820988976	undirected	NA	NA
ADCK5	ST3GAL1	0.0114608709599878	undirected	NA	NA
ADCK5	CYC1	0.0432913994301223	undirected	NA	NA
ADCK5	ZNF623	0.0253712519994733	undirected	NA	NA
ADCK5	SLC39A4	0.034976003062436	undirected	NA	NA
ADCK5	NIBP	0.041336605646406	undirected	NA	NA
ADCK5	PPP1R16A	0.0646919590369944	undirected	NA	NA
ADCK5	OPLAH	0.0208544970928247	undirected	NA	NA
ADCK5	TIGD5	0.0633490543288964	undirected	NA	NA
ADCK5	PUF60	0.0701206872759572	undirected	NA	NA
ADCK5	BOP1	0.0630258653005138	undirected	NA	NA
ADCK5	RPL8	0.0405095855453297	undirected	NA	NA
ADCK5	CPSF1	0.0396970683196662	undirected	NA	NA
ADCK5	ABCB8	0.00516154073462293	undirected	NA	NA
ADCK5	NR2F6	0.00675008730286266	undirected	NA	NA
ADCK5	ZNF251	0.0167049708475727	undirected	NA	NA
ADCK5	GPR172A	0.0637197105798043	undirected	NA	NA
ADCK5	ZNF250	0.0270509623751029	undirected	NA	NA
ADCK5	TBL3	0.0055519714267694	undirected	NA	NA
ADCK5	C8orf30A	0.0597580009302794	undirected	NA	NA
ADCK5	ZNF696	0.0442307756209099	undirected	NA	NA
ADCK5	SLC45A4	0.00927589324827209	undirected	NA	NA
ADCK5	NRBP2	0.00996208368810266	undirected	NA	NA
ADCK5	TOP1MT	0.0297384073610935	undirected	NA	NA
ADCK5	CHRAC1	0.0149619458805764	undirected	NA	NA
ADCK5	MAF1	0.0272669893613516	undirected	NA	NA
ADCK5	MFSD3	0.0372020649759931	undirected	NA	NA
ADCK5	KIFC2	0.0476497226927981	undirected	NA	NA
ADCK5	DGAT1	0.0240270502257455	undirected	NA	NA
ADCK5	KIAA1688	0.0406242812171334	undirected	NA	NA
ADCK5	EXOSC4	0.0690160924832877	undirected	NA	NA
ADCK5	C8orf33	0.0400736415998569	undirected	NA	NA
ADCK5	GPAA1	0.028040057458748	undirected	NA	NA
ADCK5	FBXL6	0.0630134129500255	undirected	NA	NA
ADCK5	ZNF707	0.0477375339141913	undirected	NA	NA
SLC25A1	C8orf55	0.00680579760188629	undirected	NA	NA
SLC25A1	PYCRL	0.007738666181075	undirected	NA	NA
SLC25A1	ADCK1	0.00544252404966212	undirected	NA	NA
SLC25A1	FAM83H	0.00558746539212355	undirected	NA	NA
SLC25A1	GRINA	0.00849190154335361	undirected	NA	NA
SLC25A1	TSTA3	0.00534095791989451	undirected	NA	NA
SLC25A1	CLPTM1	0.00596582360048595	undirected	NA	NA
SLC25A1	CYC1	0.00665002568189137	undirected	NA	NA
SLC25A1	AMDHD2	0.0057463650292927	undirected	NA	NA
SLC25A1	PICK1	0.00687060136788531	undirected	NA	NA
SLC25A1	LYPLA2	0.00891369457017291	undirected	NA	NA
SLC25A1	AKT1	0.00914237329701079	undirected	NA	NA
SLC25A1	PUF60	0.0055943128356137	undirected	NA	NA
SLC25A1	BOP1	0.00655931829389273	undirected	NA	NA
SLC25A1	SLC1A5	0.00553987836167949	undirected	NA	NA
SLC25A1	DNAL4	0.00733745759494115	undirected	NA	NA
SLC25A1	CAPN1	0.00690269868849061	undirected	NA	NA
SLC25A1	NR2F6	0.0072077297889977	undirected	NA	NA
SLC25A1	GPR172A	0.00922362718428094	undirected	NA	NA
SLC25A1	TBL3	0.00839540400090062	undirected	NA	NA
SLC25A1	C8orf30A	0.00598325016618854	undirected	NA	NA
SLC25A1	KLHL22	0.00891054661717384	undirected	NA	NA
SLC25A1	MAF1	0.00843330610914585	undirected	NA	NA
SLC25A1	FLJ14154	0.00903038235453404	undirected	NA	NA
SLC25A1	EXOSC4	0.00565370718216267	undirected	NA	NA
SLC25A1	GPAA1	0.0090372962037134	undirected	NA	NA
SLC25A1	FBXL6	0.00799636848471007	undirected	NA	NA
C8orf55	RHPN1	0.0243347847900801	undirected	NA	NA
C8orf55	SCRIB	0.0291841825555255	undirected	NA	NA
C8orf55	PYCRL	0.0571781018192635	undirected	NA	NA
C8orf55	FAM83H	0.0451235259731517	undirected	NA	NA
C8orf55	SYT7	0.00524825799917503	undirected	NA	NA
C8orf55	AGPAT6	0.00680664171742973	undirected	NA	NA
